Case Number,Context,Award Summary,Year,Nature of the Award,Seat (Town),Source,ID Number,Themes Link,Jurisdictions Link,Court Decisions Link,Arbitral Institution Link,CoLD ID,Arbitral Provisions
9887,"The parties entered into a contract for the sale of chemicals to be delivered successively over several months. Payment was to be made by means of a letter of credit upon presentation of certain documents. Following complaints from the defendant's customer about the poor quality of the product, the defendant (buyer) refused the goods. The claimant refused to take them back and the defendant refused to sell them to a third party.

Translated with www.DeepL.com/Translator (free version)","Application of CISG and in case of questions concerning matters which are not governed by the Vienna Convention, such as the validity of the contracts (point F(i) of the Terms of Reference) or the effect which the contract may have on the title to the goods sold, reference will also be made to the relevant rules of international commercial law, including the rules generally applied to international contracts and international sales of goods. Both the rules of conflict of the Vienna Convention and the general principles of international private law lead to the applicability of the Vienna Convention.
",2000,"Final,Interim","Paris, France","Bulletin de la Cour internationale d'arbitrage de la CCI, Vol. 11, N° 2, 111,  2000",56,1,1,0,1,AA-56,0
10422,"Defendant, a European manufacturer, and Plaintiff, a Latin-American distributor, entered into an agreement for the exclusive distribution of Defendant’s products in Plaintiff’s country. Although the Agreement provided that payment of the price of the goods was due 120 days after delivery, Defendant, after receiving from Plaintiff an order for a larger than usual quantity of goods, requested advance payment. Plaintiff refused, and the parties entered into negotiations with a view to finding a mutually acceptable solution. Ultimately it was agreed that Plaintiff would pay the price in advance, but Defendant in turn would grant Plaintiff a discount corresponding to the additional costs thereby incurred by Plaintiff. While the parties still argued as to whether the new terms of payment concerned only future orders or applied also to the order already placed, Defendant all of a sudden terminated the Agreement alleging Plaintiff’s failure to meet the contractually agreed sales figures over the last two years.","The arbitral tribunal, in view of the fact that the parties apparently wanted a neutral solution, decided to apply “general principles and rules of international contracts, i.e. the so-called lex mercatoria”, and to refer in this context to the UNIDROIT Principles.",2001,,"Paris, France",Date: 00-00-2001; Country: Arbitral award; Number: 10422; Court: ICC International Court of Arbitration 10422,38,1,1,0,1,AA-38,0
CIETAC award dated 31 October 2016,"Applicants (a Chinese Power Plant Engineering Company and an Indonesian Power Plant Engineering Company) concluded with Defendant (an Indonesian Engineering Company) a Sub-Contract Agreement of Engineering, Procurement and Construction for the erection of a power plant in a Province of Indonesia, referring to Singapore law as the applicable law. However, when a dispute arose in the course of performance due to an alleged non performance of Defendant, neither party could provide sufficient evidence as to the content of Singapore law with respect to the issues at stake.","The Arbitral Tribunal announced that it would settle the disputes by international practices, more precisely in accordance with the relevant provisions of the UNIDROIT Principles which in its view “represented the general principles of contract laws"".",2016,,,Date: 31-10-2016; Country: Arbitral award; Number: -; Court: China International Economic and Trade Arbitration Commission (CIETAC),57,1,1,0,1,AA-57,0
11601,,"In a dispute the Arbitral Tribunal, in view of the fact that the contract was silent as to the applicable law and that both parties in their statement of claim and statement of defence referred to individual provisions of the UNIDROIT Principles, decided to base its decisions on the UNIDROIT Principles.",2002,,"Paris, France",ICC International Court of Arbitration 11601,39,1,1,0,1,AA-39,0
11926,"In a dispute the Sole Arbitrator, face with the question whether the Respondent was entitled to avoid the contract for mistake, decided to base its decision on transnational principles and rules such as those contained in the UNIDROIT Principles, the Principles of European Contract Law or the CENTRAL list of principles and rules of the lex mercatoria.","Italian law was the applicable law according to the relevant conflict-of-laws-rules.
",2003,,"Paris, France",Date: 00-00-2003; Country: Arbitral award; Number: 11926; Court: ICC International Court of Arbitration 11926,62,1,1,0,1,AA-62,0
152/1998,"In a sales contract between a Russian and an English party. Buyer had to return the goods delivered by Seller and asked for the reimbursement of the costs incurred. Seller objected to the amount claimed, arguing that Buyer has not properly followed the instructions Seller has given it concerning the time and order in which to return the goods.
",In interpreting Seller’s instructions the Arbitral Tribunal resorted among other legal sources also to the UNIDROIT Principles.,1999,,"Moscow, Russia",Date: 16-04-1999; Country: Arbitral award; Number: 152/1998; Court: International Arbitration Court of the Chamber of Commerce and Industry of the Russian Federation,40,1,1,0,1,AA-40,0
10385,"Defendant, the Government of a West African State, entered into a construction contract with Claimant, an African construction company. Claimant initiated arbitral proceedings alleging that Defendant had failed to fulfil its contractual obligations.","According to the Arbitral Tribunal the same applied mutatis mutandis to the UNIDROIT Principles which it described as ""complementing if not competing with"" the lex mercatoria. The Arbitral Tribunal concluded that it would decide the dispute according to the terms of the contract and only when necessary apply ""the rules of law"" it considered most appropriate.",2002,,"Paris, France",Date: 00-03-2002; Country: Arbitral award; Number: 10385; Court: ICC International Court of Arbitration 11638,58,1,1,0,1,AA-58,0
12494,"This case concerns a contract for the supply of equipment by a manufacturer in an East European State, Y (claimant) to a South Asian State, X (respondent).","The Arbitral Tribunal has considered the provisions of the Contract and has had regard to the various international conventions cited by one or both of the Parties. Although not directly applicable to the present circumstances, these conventions (i.e. Rome Convention) nevertheless serve as evidence of recognized international principles applicable to choice of law issues. Based on these considerations, the Arbitral Tribunal has determined that the law of [State Y] governs the Contract. ",2008,Partial,"Paris, France",ICC International Court of Arbitration Bulletin Vol. 19 No. 1; 126; 2008; Partial Award in Case 12494 (Extracts),42,1,1,0,1,AA-42,0
12193,"This dispute arose out of an exclusive distribution agreement between a German manufacturer (respondent) and a Lebanese distributor (claimant).
",Lebanese law was most closely related to the contract.,2008,Final,"Basel, Switzerland",ICC International Court of Arbitration Bulletin Vol. 19 No. 1; 122; 2008; Final Award in Case 12193 (Extract),59,1,1,0,1,AA-59,0
64/2008,"Claimant, a Polish company, entered into a construction contract with Respondent, a Russian company, in which Claimant was the purchaser and Respondent the contractor. A dispute arose when Respondent allegedly failed to perform one of its obligations and Claimant required the performance by Respondent.
",The Arbitral Tribunal decided to apply the Civil Code of Russian Federation and the UNIDROIT Principles of International Commercial Contracts as the law applicable to the substance of the dispute.,2009,,"Moscow, Russia",Date: 09-04-2009; Country: Arbitral award; Number: 64/2008; Court: International Arbitration Court of the Chamber of Commerce and Industry of the Russian Federation,41,1,1,0,1,AA-41,0
19/03758,"An appeal has been lodged with the ICCP-CA against a decision of the Paris Commercial Court which ruled for the application of Algerian law to the commercial relationship between an Algerian company, Sodmilab, and a French company, Waters, regarding the distribution of Waters branded products exclusively in Algeria, which was terminated at the initiative of Waters.","The ICCP-CA overturned the decision of the first judges ruling for the Algerian company's claim, holding that French Law was applicable regardless of the classification of the commercial relationship claimed by the Algerian company as a commercial agency or distribution contract, pursuant to the Hague Convention of 14 March 1978 and the European Regulations Rome I and Rome II.
",2020,,"Paris, France (?)","June 3rd, 2020, ICCP-CA RG No 19/03758 - Determination of the applicable Law - French Law or Algerian Law",60,1,1,0,1,AA-60,0
88/2000,"A sales contract between a Russian and an English party provided that in case of delayed payment of the price the buyer should pay a penalty in addition to interest at the LIBOR rate. When the buyer actually delayed the payment of the price, the seller asked for the payment of both the interest on the sum not paid in time and the agreed penalty.
",The Arbitral Tribunal awarded the interest at the agreed LIBOR rate and rejected the claim for the payment of the penalty. In doing so it referred to Article 7.4.13(2) of the UNIDROIT Principles.,2001,,"Moscow, Russia",Date: 25-01-2001; Country: Arbitral award; Number: 88/2000; Court: International Arbitration Court of the Chamber of Commerce and Industry of the Russian Federation,44,1,1,0,1,AA-44,0
67/2012,"Claimant, a Cypriot company, entered into a loan agreement with Respondent, a Russian company.","Since Parties had not chosen the applicable law, the Arbitral Tribunal applied the law of England and Wales together with the UNIDROIT Principles of International Commercial Contracts. ",2012,,"Moscow, Russia",Date: 30-08-2012; Country: Arbitral award; Number: 67/2012; Court: International Arbitration Court of the Chamber of Commerce and Industry of the Russian Federation,61,1,1,0,1,AA-61,0
14581,"As a continuation of an earlier agreement, a supply agreement for leasing equipment and licensing technology was concluded by two ministries of country X and the lessor from country Y. ","The arbitral tribunal held in that respect that under Swiss law the arbitration clause may be interpreted under either Swiss or international law and consequently decided to apply both Swiss law and international law in that regard. Considering that both parties invoked the UNIDROIT Principles as internationally recognised principles of law, the arbitral tribunal consulted the UNIDROIT Principles alongside the Principles of European Contract Law and the CISG",2007,,"Paris, France",Date: 00-00-2007; Country: Arbitral award; Number: 14581; Court: ICC International Court of Arbitration 14581,43,1,1,0,1,AA-43,0
12410,"In 2000, a German company (Claimant) entered into a contract to purchase cement from a Thai company (Respondent).","Swiss Law. The Incoterms published by the ICC have codified the usage of the international trade. Swiss courts apply them as trade usage. Consequently and to the extent that they are relevant, the Incoterms 1990 will apply.",2003,Final,"Geneva, Switzerland",ICC International Court of Arbitration Bulletin Vol. 21 No. 1; 84; 2010; Final Award in Case 12410 (Extract),63,1,1,0,1,AA-63,0
99/2012,"Claimant, a Russian company, entered into a sales contract with Respondent, a Chinese company.",The Arbitral Tribunal applied the UNIDROIT Principles of International Commercial Contracts as the law applicable to the substance of the dispute without being requested to do so by the parties.,2013,,"Moscow, Russia",Date: 06-02-2013; Country: Arbitral award; Number: 99/2012; Court: International Arbitration Court of the Chamber of Commerce and Industry of the Russian Federation,45,1,1,0,1,AA-45,0
NA,"On 9 September 2011, Swiss company B entered into a Share Purchase Agreement (SPA) with French company L, which was later succeeded by French company X. Under the SPA, which was governed by Swiss law, B agreed to sell to L the quasi-totality of the shares in French company A.","The SPA provided that any dispute regarding the earn-out payments should be resolved through arbitration under the rules of the Swiss Chambers’ International Arbitration Institution, the place of the arbitration being in Zurich, Switzerland.
",2018,Final,"Zurich, Switzerland",ICC Dispute Resolution Bulletin 2018 Issue 3,64,1,1,0,1,AA-64,0
10303,"A dispute arose out of a contract between a Turkish company (claimant) and a German company (respondent), requiring the respondent to supply equipment and services enabling the claimant to manufacture products in Turkey.",The Arbitral Tribunal decided that the CISG and German law shall govern the contractual relations between the Parties.,2008,Final,"Paris, France",ICC International Court of Arbitration Bulletin Vol. 19 No. 1; 114; 2008; Final Award in Case 10303 (Extract),46,1,1,0,1,AA-46,0
15453,"On 20 August 2006, First Respondent and Claimant signed the Contract ... - ""Turnkey Contract for design, construction, supply and commissioning of a multipurpose support vessel with duplex dynamic positioning system"".","For these reasons, the Arbitral Tribunal has concluded that the choice of law clause in the Contract, properly construed, covers any dispute as to the validity and effect of the Tripartite Agreement, including any dispute as to the authority of Mr [A]. Accordingly, all relevant issues are governed by English law.",2009,Final,"Geneva, Switzerland",ICC Dispute Resolution Bulletin 2016 No. 2; 118; 2016; Final Award in Case 15453,67,1,1,0,1,AA-67,0
12847,"In 2002, a Belgian company (Claimant) agreed to purchase clinker from a Turkish company (Respondent).","Pursuant to the first paragraph of Article XIV of the Contract (supra at 5.7), the parties have agreed upon the rules of law to be applied to the merits of the dispute. According to such choice-of-law clause, the Contract is governed by, and thus the Arbitral Tribunal must decide the dispute pursuant to, the ""Incoterms 2000"" and Swiss law (with the express exclusion of any Swiss rules of conflict of laws and of the Vienna Convention of 1980 on the International Sale of Goods).",2005,Final,"Paris, France",ICC International Court of Arbitration Bulletin Vol. 21 No. 1; 88; 2010; Final Award in Case 12847 (Extract),47,1,1,0,1,AA-47,0
9771,"Claimant, an Italian company, sued Defendants, two Cypriot companies, for damages for their failure to deliver goods in conformity with the contractual specifications.

","The contract was silent as to the applicable law nor did the Arbitral Tribunal determine any domestic law as the applicable law. Without expressly referring to the UNIDROIT Principles, the Arbitral Tribunal decided that Claimant was entitled to interest on the damages claimed.
",2001,,"Paris, France",ICC International Court of Arbitration 9771; 00-01-2001,66,1,1,0,1,AA-66,0
11638,Dispute relating to an international sales contract.,"According to the Sole Arbitrator according to Article 17(1) of the ICC Rules and Arbitration in the case at hand the application of the UNIDROIT Principles should be preferred to any domestic law which has not been designated by the parties, the content of which has not been established and which therefore does not seem appropriate to solve the dispute at hand.",2002,,"Paris, France",Date: 00-00-2002; Country: Arbitral award; Number: 11638; Court: ICC International Court of Arbitration 11638,48,1,1,0,1,AA-48,0
91/2012,"Claimant, an English company, entered into a contract with Respondent, a Russian company whereby the latter was to provide telecommunication services.",The Arbitral Tribunal decided to apply German law together with the UNIDROIT Principles of International Commercial Contracts.,2013,,"Moscow, Russia",Date: 25-01-2013; Country: Arbitral award; Number: 91/2012; Court: International Arbitration Court of the Chamber of Commerce and Industry of the Russian Federation,65,1,1,0,1,AA-65,0
19/15655,"Derivative action against Conforama, itself a debtor of Mab Ltd, debtor in liquidation of the two pursuing creditors.",French law,2021,,,30 March 2021 - ICCP-CA - RG 19/15655—Derivative action—Confidentiality of disclosures between lawyers— Procedural collusion— Principal or accessory impleading — Reenrollment of the case — Statutory limitation— Interruptive grounds - Business cooperation agreement—Applicable law to the contract—Rome Convention—Public policy—Economic transparency—set-off (no),49,1,1,0,1,AA-49,0
12097,A sales contract entered into between a Finnish company and a French company.,"The Sole Arbitrator, after pointing out that the CISG was also part of Swedish law though, like in Finland, without its Part II on Formation, announced that he would apply the CISG supplemented if necessary by “general principles of law” such as the UNIDROIT Principles.",2003,,"Paris, France",Date: 00-00-2003; Country: Arbitral award; Number: 12097; Court: ICC International Court of Arbitration 12097,11,1,1,0,1,AA-11,0
11265,An international sales contract entered into between a company situated in the Bermudas and a company situated in Rwanda.,"As to the reasons why it decided to apply in particular the UNDROIT Principles, the Arbitral Tribunal stated that they were twofold: first, in the course of the arbitral proceedings the parties themselves seemed to agree on the application of the UNIDROIT Principles; second, the UNIDROIT Principles may be seen as “a codification of trade usages and an expression of the general principles of contract law”.",2003,,"Paris, France",Date: 00-00-2003; Country: Arbitral award; Number: 11265; Court: ICC International Court of Arbitration 11265,50,1,1,0,1,AA-50,0
16981,The Parties disagree on the applicable substantive law with respect to [Claimant]'s claims in relation to the termination of the 2000 Distribution Agreement. The Parties' dispute on the applicable law stems from their different views regarding the nature of this claim and the scope of Article 25.1 of the 2000 Distribution Agreement.,"In conclusion, the Arbitral Tribunal, by a Majority decision, holds that, pursuant to Article 17.1 of the ICC Rules and the choice-of-law clauses provided in the Agreements, it has to apply Finnish law to the dispute.",2012,Final,,Final Award in Case 16981 (Extract),4,1,1,0,1,AA-4,0
9893,"This dispute arose out of a contract between a French company (claimant) and an Austrian company (respondent), under which the respondent was required to supply and erect part of an installation to be built by the claimant for a third party.",Austrian law,2008,Interim,"Paris, France",ICC International Court of Arbitration Bulletin Vol. 19 No. 1; 110; 2008; Interim Award in Case 9893 (Extract),12,1,1,0,1,AA-12,0
9875,"In 1983, Claimant, a French company, was given an exclusive licence to manufacture, sell and distribute Respondent's products in Europe. A similar agreement was made at the same time between Respondent and an American firm (X) for the North American market. Respondent retained exclusive distribution in Asia for itself and gave Claimant and Respondent non-exclusive rights for other countries. The licence agreement between Claimant and Respondent provided for an exception to exclusivity in order to allow the products bought by Original Equipment Manufacturers in the territory of one exclusive licensee to be distributed in another licensee's exclusive territory. In 1996, Respondent entered into a new agreement with X and submitted a new draft contract to Claimant, which was never executed. Claimant contended that the new contract between Respondent and X infringed its exclusivity in Europe, as Europe had been omitted in a clause defining limitations upon the extent of X's distribution. ","The arbitral tribunal decided that lex mercatoria should be applied to the merits of the case, noting that the Unidroit Principles were a reflection of the rules of law and usages of international trade. In its final majority award, the tribunal referred to the rules of interpretation contained in article 4 of the Unidroit Principles and the practice of good faith and fair dealing expressed in article 1.7.",2001,"Partial,Final","Brussels, Belgium",ICC International Court of Arbitration Bulletin Vol. 12 No. 2; 95; 2001; Partial and Final Awards in Case 9875 (Extracts),14,1,1,0,1,AA-14,0
15972,[Choice of law] [Public policy],"In view of the foregoing, the Arbitral Tribunal concludes that the merits of the case shall be exclusively decided in accordance with the law chosen by the parties, i.e. Swiss substantive law with the exception of the CISG. In addition, the Arbitral Tribunal shall ""take account of the provisions of the contract and the relevant trade usages"" (see Art. 17(2) ICC Rules7). ",2011,Final,"Geneva, Switzerland",ICC Dispute Resolution Bulletin 2016 No. 1; 92; 2016; Final Award in Case 15972 (Extract),13,1,1,0,1,AA-13,0
11864,The dispute arose out of a contract for distribution by a Belgian company (respondent) in Benelux countries of products produced by a Dutch company (claimant).,"The Sole Arbitrator finds, however, that in the circumstances here those factors are outweighed by the more substantial connections of the contractual relationship to Belgium.
",2008,Interim,"Brussels, Belgium",ICC International Court of Arbitration Bulletin Vol. 19 No. 1; 119; 2008; Interim Award in Case 11864 (Extract),15,1,1,0,1,AA-15,0
17146,,"The arbitral tribunal found that the existence, validity and scope of an arbitration agreement has to be examined by reference to transnational rules and trade usages. The arbitral tribunal further noted that these rules are the same as those commonly adopted for the interpretation of contracts in national laws.",2013,,"Paris, France","P. Taivalkoski in ""Perspectives in Practice of the UNIDROIT Principles 2016"", IBA Publication 2019, p. 211-212",16,1,1,0,1,AA-16,0
18/2007,"Claimant, a Russian company, entered into a contract with Respondent, a Moldavian company, for the supply of natural gas (“the Contract”). According to the Contract the gas was to be delivered in part to the Respondent itself and in part to a third party (“the Recipient”). Although the Recipient was formally not a party to the Contract, the Contract provided that the Recipient should pay for the gas directly to Claimant. Nevertheless, when the Recipient failed to pay the price for the gas received, Claimant requested payment of the price not from the Recipient but from Respondent. When Respondent refused to pay on behalf of the Recipient, Claimant filed a claim against Respondent before the International Court of Arbitration of the Chamber of Industry and Commerce of the Russian Federation.","According to the Arbitral Tribunal Claimant in both respects failed to act in accordance with one of the basic principles of international trade, i.e. the principle of good faith as laid down in general terms in Article 1.7 of the UNIDROIT Principles and Articles 7 and 8 of the CISG and which, according to Article 5.1.2 of the UNIDROIT Principles, is an implied obligation which as stated in Comments 1 to 3 to Article 1.7 of the UNIDROIT Principles the parties have to observe throughout the life of the contract.
",2008,,"Moscow, Russia",Date: 08-02-2008; Country: Arbitral award; Number: 18/2007; Court: International Arbitration Court of the Chamber of Commerce and Industry of the Russian Federation,17,1,1,0,1,AA-17,0
12111,"In 2001, a Romanian company (Claimant) contracted to sell paper to a UK company (Respondent).","The Sole Arbitrator considers that the terms ""international law"" used by the parties refer to lex mercatoria and general principles of law applicable to international contractual obligations such as the ones arising out of the Contract. Such general principles are reflected in the UNIDROIT Principles of International Commercial Contracts which will be applied for the determination of the parties' respective claims in this arbitration.",2003,Partial,"Paris, France",ICC International Court of Arbitration Bulletin Vol. 21 No. 1; 78; 2010; Partial Award in Case 12111 (Extract),18,1,1,0,1,AA-18,0
NA,"A United States company and a government agency of a Middle Eastern country entered into a contract which contained a provision according to which any disputes which might arise would be settled on the basis of “Anglo-Saxon principles of law"".
","In the absence of any further specification as to what exactly this formula might mean, the Arbitral Tribunal chose to refer expressly to the UNIDROIT Principles, and in particular to the rules on interpretation contained therein",1995,,"London, United Kingdom",Date: 00-00-1995; Country: Arbitral award; Number: -; Court: London Court of Arbitration,19,1,1,0,1,AA-19,0
16751,"In this arbitration the Claimant contends that as a result of various breaches of an agreement for the management of [a] Hotel in … Nigeria committed by the Respondent, the Claimant was entitled to terminate the Management Agreement and is entitled now to recover various sums which had accrued due to it, as well as compensation for loss of the profits which it would have earned if the agreement had continued. The Respondent denies liability to the Claimant, and further contends that this arbitral tribunal has no jurisdiction. Without prejudice to that denial of jurisdiction, the Respondent counterclaims damages for losses which it says that it has suffered as a result of breaches of the Management Agreement by the Claimant.
","Accordingly, applying English law, which is the relevant applicable law, we hold that the arbitration clause is valid and enforceable.",2016,Final,"London, United Kingdom",ICC Dispute Resolution Bulletin 2016 No. 2; 65; 2016; Final Award in Case 16751,20,1,1,0,1,AA-20,0
13012,A contract between a French company and a U.S. company was silent as to the applicable law.,"In conclusion the Arbitral eventually decided “(…) that the material law applicable to the case shall be the general principles of law resulting from the UNIDROIT Principles (2004 edition) and from the aforesaid fundamental rules of the lex mercatoria, as well as from the commercial usages prevailing in the sector of activities to which the parties’ agreement relates.",2004,,"Paris, France",Date: 00-00-2004; Country: Arbitral award; Number: 13012; Court: ICC International Court of Arbitration 13012,24,1,1,0,1,AA-24,0
11754,"The Claimant is a government company incorporated in India. The Respondent is a private limited company incorporated in Singapore. The dispute concerns a Purchase Order, which includes a Guarantee Clause.  The Claimant alleged that there were certain discrepancies and 25 of the [products] were defective and failed prematurely.","The Arbitrator is of the opinion that the dispute under the Contract in this case has the closest connection with India. Therefore the law of India should be the applicable substantive law.
",2003,Interim,"Bangkok, Thailand",Special Supplement 2010: Decisions on ICC Arbitration Procedure: A Selection of Procedural Orders issued by Arbitral Tribunals acting under the ICC Rules of Arbitration (2003-2004); 2010; Interim Order of 14 February 2003 in ICC Case 11754 (Extract),21,1,1,0,1,AA-21,0
